,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,,Aarav Rohan Gaitonde,0,0,0 - 1,0,,Merchant Rayan,0,18
1,2,19,,Mutreja Medhansh,0,0,0 - 1,0,,Abeer Phatak,0,3
2,3,4,,Bhor Kish,0,0,1 - 0,0,,Naraparaju Nairit,0,20
3,4,22,,Raikar Ahana,0,0,- - +,0,,Bijlani Krish,0,5
4,5,6,,Chandana Hrishaan,0,0,½ - ½,0,,Aaron Ahmed,0,2
5,6,23,,Rawal Jayneel,0,0,0 - 1,0,,Deora Aaditya,0,7
6,7,8,,Dmello Joshua,0,0,1 - 0,0,,Savla Ansh,0,24
7,8,25,,Shah Hridhaan,0,0,0 - 1,0,,Gala Grihit,0,11
8,9,12,,Gokhale Tanaya,0,0,0 - 1,0,,Shah Shaurya,0,26
9,10,15,,Lobo Ferdyn,0,0,1 - 0,0,,Gupta Krish,0,13
10,11,14,,Hathi Manas Pradeep,0,0,1 - 0,0,,Thakur Vihaan,0,27
11,12,17,,Malik Naksh,0,0,1 - 0,0,,Vasvani Nevan,0,29
12,13,9,,Fernandes Raphael,0,0,0 - 1,0,,Patel Manay,0,21
