,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
0,1,1,1584,,Jamali Pouria,1 - 0,,Oralbayev Dinmukhammed,0,2
1,2,3,1785,,Rahmat Pour Armin,1 - 0,,Kozhakhmetov Sultan,1444,4
2,3,5,0,,Syvun Yuliia,0 - 1,,Bakhodirov Abdulaziz,1344,6
3,4,7,1291,,Davronbekov Kamron,0 - 1,,Lapin Olexandr,0,8
4,5,9,1338,,Kolb Denys,0 - 1,,Filimonov Arsenii,0,10
5,6,11,1348,,Shoniyozov Azamat,1 - 0,,Syvun Maryna,0,12
6,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
7,1,2,0,,Oralbayev Dinmukhammed,0 - 1,,Syvun Maryna,0,12
8,2,10,0,,Filimonov Arsenii,1 - 0,,Shoniyozov Azamat,1348,11
9,3,8,0,,Lapin Olexandr,1 - 0,,Kolb Denys,1338,9
10,4,6,1344,,Bakhodirov Abdulaziz,1 - 0,,Davronbekov Kamron,1291,7
11,5,4,1444,,Kozhakhmetov Sultan,1 - 0,,Syvun Yuliia,0,5
12,6,1,1584,,Jamali Pouria,1 - 0,,Rahmat Pour Armin,1785,3
13,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
14,1,3,1785,,Rahmat Pour Armin,1 - 0,,Oralbayev Dinmukhammed,0,2
15,2,5,0,,Syvun Yuliia,0 - 1,,Jamali Pouria,1584,1
16,3,7,1291,,Davronbekov Kamron,1 - 0,,Kozhakhmetov Sultan,1444,4
17,4,9,1338,,Kolb Denys,1 - 0,,Bakhodirov Abdulaziz,1344,6
18,5,11,1348,,Shoniyozov Azamat,1 - 0,,Lapin Olexandr,0,8
19,6,12,0,,Syvun Maryna,0 - 1,,Filimonov Arsenii,0,10
20,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
21,1,2,0,,Oralbayev Dinmukhammed,0 - 1,,Filimonov Arsenii,0,10
22,2,8,0,,Lapin Olexandr,1 - 0,,Syvun Maryna,0,12
23,3,6,1344,,Bakhodirov Abdulaziz,1 - 0,,Shoniyozov Azamat,1348,11
24,4,4,1444,,Kozhakhmetov Sultan,1 - 0,,Kolb Denys,1338,9
25,5,1,1584,,Jamali Pouria,1 - 0,,Davronbekov Kamron,1291,7
26,6,3,1785,,Rahmat Pour Armin,1 - 0,,Syvun Yuliia,0,5
27,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
28,1,5,0,,Syvun Yuliia,0 - 1,,Oralbayev Dinmukhammed,0,2
29,2,7,1291,,Davronbekov Kamron,0 - 1,,Rahmat Pour Armin,1785,3
30,3,9,1338,,Kolb Denys,0 - 1,,Jamali Pouria,1584,1
31,4,11,1348,,Shoniyozov Azamat,0 - 1,,Kozhakhmetov Sultan,1444,4
32,5,12,0,,Syvun Maryna,0 - 1,,Bakhodirov Abdulaziz,1344,6
33,6,10,0,,Filimonov Arsenii,1 - 0,,Lapin Olexandr,0,8
34,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
35,1,2,0,,Oralbayev Dinmukhammed,0 - 1,,Lapin Olexandr,0,8
36,2,6,1344,,Bakhodirov Abdulaziz,0 - 1,,Filimonov Arsenii,0,10
37,3,4,1444,,Kozhakhmetov Sultan,1 - 0,,Syvun Maryna,0,12
38,4,1,1584,,Jamali Pouria,1 - 0,,Shoniyozov Azamat,1348,11
39,5,3,1785,,Rahmat Pour Armin,1 - 0,,Kolb Denys,1338,9
40,6,5,0,,Syvun Yuliia,0 - 1,,Davronbekov Kamron,1291,7
41,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
42,1,7,1291,,Davronbekov Kamron,1 - 0,,Oralbayev Dinmukhammed,0,2
43,2,9,1338,,Kolb Denys,0 - 1,,Syvun Yuliia,0,5
44,3,11,1348,,Shoniyozov Azamat,0 - 1,,Rahmat Pour Armin,1785,3
