,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,,Chauhan Janmesh,1178,0,1 - 0,0,,Pansari Siddhesh,0,15
1,2,21,,Swain Sambhab,0,0,0 - 1,0,,Krishiv Alok Bhatia,1124,2
2,3,7,,Jhalani Netra,0,0,0 - 1,0,,Thanekar Rugvedi,0,22
3,4,23,,Vaid Ayush,0,0,0 - 1,0,,Joshi Shreeya,0,8
4,5,11,,Kothari Stuti,0,0,0 - 1,0,,Verma Tanmay,0,24
5,6,6,,Haridas Soumil,0,0,0 - 1,0,,Mahyavanshi Nidhish,0,12
6,7,13,,Mhamunkar Sarthak,0,0,1 - 0,0,,Vinit Mayur Gohil,0,25
7,8,26,,Wadhwa Devansh,0,0,0 - 1,0,,Sawant Shrushti,0,17
8,9,4,,Agarwal Kavish,0,0,1 - 0,0,,Joshi Suhana,0,9
9,10,14,,Pal Parmisha,0,0,1 - 0,0,,Suroliya Jeetanshi,0,20
10,11,5,,Ambetkar Reya,0,0,1 - 0,0,,Keshari Anveshi,0,10
11,12,16,,Patel Jaina,0,0,0 - 1,0,,Shah Manan,0,19
