,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,11,,Bosca Valter Romano,1940,0,0 - 1,0,GM,Arkell Keith C,2380,1
1,2,2,FM,Plotkin Victor,2310,0,1 - 0,0,,Canonne Antoine,1925,12
2,3,13,,Cimina Andra,1924,0,1 - 0,0,IM,Klundt Klaus,2248,3
3,4,4,IM,Barron Michael,2227,0,1 - 0,0,,Har-Even Abir,1904,14
4,5,15,,Hickman John E,1900,0,1 - 0,0,FM,Osiecki Stanislaw,2127,5
5,6,6,,Husted Peter,2098,0,1 - 0,0,,Thoux Claudio,1857,16
6,7,17,,Ronzano Luca,1838,0,1 - 0,0,,Jensen Stein,2096,7
7,8,8,,Homer Stephen J,2024,0,½ - ½,0,,Wilson Edgar,1828,18
8,9,19,,Lopez Rodriguez Eduardo,1765,0,½ - ½,0,,Carosso Andrea,1966,9
9,10,10,,Andresen Hans Jorn,1959,0,½ - ½,0,,Genovese Alberto,0,20
