,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,13,,Mazhitov Bekish,0,0,0 - 1,0,,Aizizov Kashim,0,1
1,2,2,,Andreev Dmitry,0,0,1 - 0,0,,Musabaev Alylbek,0,14
2,3,15,,Ozerov Semen,0,0,1 - 0,0,,Bolat Zhanymkhan,0,3
3,4,4,,Efimov Alexander,0,0,1 - 0,0,,Rahmatidev Kenzhebek,0,16
4,5,17,,Redin Dmitry,0,0,1 - 0,0,,Frolov Leonid,0,5
5,6,6,,Gaisinsky Vladimir,0,0,0 - 1,0,,Ricardas Valusis,0,18
6,7,19,,Rakhmanov Nurbek,0,0,0 - 1,0,,Ibodov Alokhiddin,0,7
7,8,8,,Khalliev Sunnat,0,0,0 - 1,0,,Shakivov Takhirzyan,0,20
8,9,21,,Smurkov Ivan,0,0,1 - 0,0,,Khaltagarov Alexander,0,9
9,10,10,,Kurmanbekov Marat,0,0,1 - 0,0,,Toktonaev Asanbek,0,22
10,11,23,,Ubaidulev Bakhodir,0,0,1 - 0,0,,Krylov Mikhail,0,11
11,12,25,,Zorin Alexandr,0,0,1 - 0,0,,Koiqeldiev Marat,0,12
