,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,,Sanches-Shananin Adrian,1796,0,1 - 0,0,,Khorkov Arseniy Aleks,1457,14
1,2,15,,Sukhoguzov Arseniy Alek,1406,0,0 - 1,0,,Baroyan David,1674,2
2,3,3,,Medvedev Ivan Dmit,1665,0,1 - 0,0,,Kvitko Aleksandr Dm,1356,16
3,4,17,,Ananiev Grigory,1347,0,0 - 1,0,,Riskin Grigory,1598,4
4,5,5,,Novozhilov Dmitriy,1577,0,1 - 0,0,,Klepikov Egor Il,1339,18
5,6,19,,Borisenkov Kirill Rom,1360,0,0 - 1,0,,Maslova Anastasiya Yar,1604,6
6,7,7,,Kolomeets Daniel,1539,0,1 - 0,0,,Godnya Alexander Ev,1327,20
7,8,21,,Geydarov Murad Sar,1362,0,0 - 1,0,,Kravchenko Nikita A,1527,8
8,9,9,,Yarovitskaya Darya,1511,0,1 - 0,0,,Pushkin Vladimir,1310,22
9,10,23,,Larin Anatoliy,1304,0,1 - 0,0,,Chernobrovkin Andrey Mikh,1514,10
10,11,11,,Kurlanov Lev,1517,0,1 - 0,0,,Sukhotskiy Matvey Mak,1275,24
11,12,25,,Chernobrovkina Tatyana,1262,0,0 - 1,0,,Gerkov Vladislav Aleks,1563,12
12,13,13,,Atamanenko Ivan,1438,0,1 - 0,0,,Medvedev Timofey,1196,26
