,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.,PGN
0,1,37,,Ramos Irizarry Miguel,1232,0,0 - 1,0,,Han Johnathan,2012,1,PGN
1,2,2,,Ibarra Carlos Roberto,1938,0,1 - 0,0,,Bravo Cabrera Cesar Daniel,1215,38,PGN
2,3,39,,Cifuentes Perez Jacobo Andres,1109,0,0 - 1,0,CM,Tenuunbold Battulga,1858,3,PGN
3,4,4,,Levitan Caleb Levi,1825,0,1 - 0,0,,Portilla Carranza Matias,1097,40,PGN
4,5,41,,Alvarado Quintero David Mateo,1029,0,0 - 1,0,,Camargo Silva Samir,1750,5,PGN
5,6,6,CM,Cardenas Lima Vincent Matias,1618,0,1 - 0,0,,Buitrago Pinto Samuel Alejandro,1029,42,PGN
6,7,43,,Albornoz Lugo Carlos Guillermo,0,0,0 - 1,0,,Ortiz Monsalve Sebastian,1603,7,PGN
7,8,8,,Siddarth Sriaditya Kunapuli,1550,0,1 - 0,0,,Aponte Torres Diego J,0,44,PGN
8,9,45,,Barba Lewis Amir Andres,0,0,0 - 1,0,,Reyes Zavaleta Cristhian Yamil,1547,9,PGN
9,10,11,,Boydell Oliver,1536,0,1 - 0,0,,Barcia Dominguez Jesus Alejandro,0,46,PGN
10,11,47,,Bassan Nate,0,0,0 - 1,0,,Miranda Fernandez Marcos Manuel,1527,12,
11,12,13,,Merida Ceballos Sebastian,1521,0,1 - 0,0,,Bosquez Dominguez Johan Giovanny,0,48,
12,13,49,,Carrasco Chong Ian Pierre,0,0,0 - 1,0,CM,Negron Lizarazo Juan Sebastian,1518,14,
13,14,15,,Monroy Lopez Gustavo Adolfo,1514,0,1 - 0,0,,Cedeno Mazz Eduardo Antonio,0,50,
14,15,51,,Efimov Timothy,0,0,0 - 1,0,,Guevara Ruiz Marvin Andres,1511,16,
15,16,17,,Lopez Rodriguez Abel,1493,0,1 - 0,0,,Ho Sang Dariel,0,52,
16,17,53,,Klappenbach Juan Cruz Maria,0,0,0 - 1,0,,Manrique Bermudez Josue,1477,18,
17,18,19,,Suarez Sebastian,1454,0,1 - 0,0,,Lasso Mollick Luis Daniel,0,54,
18,19,55,,Leon Bermudez Marcelo,0,0,0 - 1,0,,Levitan Judah Nathan,1447,20,
19,20,21,,Ulloa Centeno Luis Manuel,1440,0,1 - 0,0,,Loo Jorge Alberto,0,56,
20,21,57,,Lopez Menegueco Matheus,0,0,0 - 1,0,,Mawutor Richardson,1421,22,
21,22,23,,Diaz Bermudez Pedro Teofilo,1408,0,1 - 0,0,,Luo Kingsley,0,58,
22,23,59,,Marengo Miranda Ricardo Manuel,0,0,0 - 1,0,,Ibanez Zanetti Sebastian Andres,1402,24,
23,24,25,,Samuel Bisnath Kael,1393,0,1 - 0,0,,Marin Garcia Emiliano Alonzo,0,60,
24,25,61,,Moreira Qiao Alex,0,0,0 - 1,0,,Alzate Velez Valentin,1381,26,
25,26,27,,Rodriguez Bruno Andre,1360,0,1 - 0,0,,Perez Medina Ismael De Jesus,0,62,
26,27,63,,Perez Santana Sebastian D.,0,0,0 - 1,0,,Perez Tangarife Simon,1351,28,
27,28,29,,Figueroa Rincon Cesar Fabian,1343,0,1 - 0,0,,Pitty Rodriguez Lucas Antonio,0,64,
28,29,65,,Prado Baley Jake Kenneth,0,0,0 - 1,0,,Morrison Joseph,1342,30,
29,30,31,,Alarcon Vega Icker Aldair,1340,0,1 - 0,0,,Quisphi Ronquillo Alejandro Emmanuel,0,66,
30,31,67,,Rodriguez Fernandez Juan Diego,0,0,0 - 1,0,,Castillo Miranda Mario Anel,1328,32,
31,32,33,,Amrud Rolon Chane,1274,0,1 - 0,0,,Romero Escamilla Gabriel David,0,68,
32,33,69,,Rosich Lopez Walter,0,0,0 - 1,0,,Gonzalez Cauich Kevin Manuel,1270,34,
33,34,35,,Ramirez Mori Angel Farid,1234,0,0 - 1,0,,Venkataraja Lingaadyakssh,0,70,
34,35,71,,Yang Andersen,0,0,0 - 1,0,,Peralta Santiak,1232,36,
