,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,WCM,Vidyarthi Omya,1393,0,1 - 0,0,,Soria Fernandez Baca Jesus Tomas,1122,46
1,2,47,,Rojas Salas Rihanna Irina,1116,0,0 - 1,0,,Ibanez Zanetti Diego Arturo,1385,2
2,3,3,,Ulloa Centeno Leandro Nicolas,1385,0,1 - 0,0,,Bolanos Montes Jhon Alvaro,1111,48
3,4,49,ACM,Haresh Venkata Narayanaswamy,1093,0,1 - 0,0,,Yue Tariq,1385,4
4,5,5,,Bendezu Yupanqui Albert Martin,1383,0,- - +,0,,Chavez Echeverria Adan,1088,50
5,6,51,,Sanchez Torres Juliana,1087,0,+ - -,0,,Castillo Mena Carlos Mario,1377,6
6,7,7,,Barboza Viquez Martin Eduardo,1376,0,- - +,0,,Allum Adrian,1081,52
7,8,53,,Amelunge Moreno Oscar Alejandro,1080,0,+ - -,0,,Merida Ceballos Sebastian,1374,8
8,9,9,,Sepulveda Brango Alberto Enrique,1369,0,1 - 0,0,,Arana Bello Bruno Josef,1080,54
9,10,55,,Huari Ortega Rafael Leonardo,1080,0,+ - -,0,,Huayhuas Robles Laura Sofia,1363,10
10,11,11,,Vahos Correa Nicolas,1349,0,1 - 0,0,,Herrera Rodriguez Flavia Del Valle,1077,56
11,12,57,,Moscoso Tellez Joe Goldtie Marshall,1075,0,1 - 0,0,,Almerco Tucto Steve Jairo Joseph,1346,12
12,13,13,,Garay Ramirez Estefano Javier,1343,0,1 - 0,0,,Pinedo Choquevilca Megan Abigail,1065,58
13,14,59,,Coaquira Gonzales Oscar Adriano,1063,0,1 - 0,0,,Pardo Useche Laura Valentina,1340,14
14,15,16,,Sanchez Alvarenga Justo,1320,0,- - -,0,,Jimenez Salas Fabiana,1039,60
15,16,61,,Galicia Ticona Isabel,1036,0,0 - 1,0,,Chavez Echeverria Ana Karen,1313,17
16,17,18,,Sozoranga Barahona Jordy Alexander,1304,0,1 - 0,0,,Buitrago Pinto Samuel Alejandro,1029,62
17,18,64,,Herrera Rodriguez Doriant Alberto,1015,0,0 - 1,0,,Ladino Hernandez Angel Joel,1303,19
18,19,20,,Munoz Ramos Christopher,1297,0,1 - 0,0,,Quispe Farfan Edgar Matteo,1003,65
19,20,67,,Allum Dominic,0,0,0 - 1,0,,Perez Tangarife Simon,1290,21
20,21,22,,Cifuentes Perez Jacobo Andres,1289,0,1 - 0,0,,Amelunge Moreno Alan Alfredo,0,68
21,22,71,,Ayala Juan Andres,0,0,0 - 1,0,,Escobar Villota Domenika Gabriela,1273,23
22,23,24,,Castillo Beitia Ashley Alexandra,1272,0,1 - 0,0,,Bernard Joel,0,72
23,24,73,,Bocangel Chacara Javier Luis,0,0,0 - 1,0,,Aryan Mehta,1265,25
24,25,26,,Salazar Becerra Fely Gabriela,1257,0,1 - 0,0,,Bocangel Delgadillo Fabrizio Rodrigo,0,74
25,26,75,,Campo Jimenez David,0,0,0 - 1,0,,Figueroa Rincon Cesar Fabian,1252,27
26,27,28,,Diaz Bermudez Pedro Teofilo,1247,0,1 - 0,0,,Carrillo David Antonio,0,76
27,28,77,,Chavez Castellanos Juan Carlos,0,0,0 - 1,0,,Yang Adelynne,1246,29
28,29,30,,Herrada Blanco Maria  Fernanda,1229,0,1 - 0,0,,Cifuentes Pena Santiago,0,78
29,30,80,,Just Timothy W,0,0,- - -,0,,Yang Andersen,1217,31
30,31,32,,Cjuno Rosello Leonel Alonso,1215,0,1 - 0,0,,Kairat Alexander,0,81
31,32,82,,Livson Michael,0,0,1 - 0,0,WCM,Semana Ramirez Brenda,1211,33
32,33,34,,Salas Porras Anghelina Jazmin,1205,0,0 - 1,0,,Marin Garrido Carolina,0,83
33,34,84,,Martinez Arce Brayan Claudio,0,0,1 - 0,0,,Sihuincha Quispe Estefany Anyaly,1199,35
34,35,36,,Arrue Rengifo Amos Aaron,1197,0,1 - 0,0,,Munoz Hurtado Gean Gabriel,0,85
35,36,86,,Nimisica Narvaez Cristopher,0,0,0 - 1,0,,Ramirez Mori Angel Farid,1197,37
36,37,38,,Bravo Cabrera Cesar Daniel,1181,0,- - +,0,,Quispe Farfan Edgar,0,87
37,38,88,,Ramirez Mori Jael Eduardo,0,0,0 - 1,0,,Portilla Carranza Matias,1170,39
38,39,40,,Brito Carrascal Isabela,1168,0,1 - 0,0,,Rodriguez Astrid,0,89
39,40,91,,Trigas Martinez Nicolas,0,0,0 - 1,0,,Machaca Mina Adamaris Luciana,1167,41
40,41,42,,Mandujano Alagon Ghaydaa Ceneth,1167,0,1 - 0,0,,Valladolid Cueva Guillermo Josue,0,92
41,42,93,,Velandia Jimenez Johan Felipe,0,0,0 - 1,0,,Atarama Tezen Sebastian Alexis,1148,43
42,43,44,,Chile Vela Claudia Daniela,1138,0,0 - 1,0,,Yu Yang,0,94
43,44,15,,Samuel Bisnath Kael,1333,0,1 - 0,0,,Assis Dayan David,0,70
44,45,79,,Efimov Timothy,0,0,1 - 0,0,,Assis Abadi Samuel,0,69
45,46,95,,Zapata Montes Tomas,0,0,0 - 1,0,,Mendoza Montesdeoca Josue Alejandro,1027,63
46,47,45,,Vinales Gonzalez Enzo Mathias,1128,0,1 - 0,0,,Sanchez Alvarenga Mikhaela,0,90
