,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.,PGN
0,1,18,,Caballero Marrugo David Jose,1675,0,0 - 1,0,,Otero Marino Alain,2238,1,
1,2,2,,Portal Ramos Cristhian,2216,0,+ - -,0,,Mnyasta Tezihano,1609,19,
2,3,20,,Gonzalez De La Guardia Luis Emilio,1599,0,0 - 1,0,FM,Flores Quillas Diego Saul Rodri,2186,3,PGN
3,4,4,,Krivenko Dion,2109,0,1 - 0,0,,Marin Gomez Daniel,1550,21,PGN
4,5,22,,Morocho Garzon Fernando Jose,1506,0,0 - 1,0,,Reyes Zavaleta Fabian Ricardo,2048,5,PGN
5,6,6,,Perez Salazar Armando,2006,0,1 - 0,0,,Huichi Ancasi Sergio Andre,1488,23,PGN
6,7,24,,Lefyedi Thatego,1438,0,0 - 1,0,,Vasquez Vargas Henry Richard,1997,7,PGN
7,8,8,,Varillas Jimenez Ivan,1979,0,+ - -,0,,Alfaro Benaute David Alexander,1425,25,
8,9,26,,Hurtado Paez Andres Jesus,1410,0,½ - ½,0,,Toro Cruz Sebastian J.,1882,9,PGN
9,10,10,,Montoya Echeverri Sebastian,1787,0,½ - ½,0,,Castillo Mena Carlos Mario,1377,27,PGN
10,11,28,,Gonzalez Weliz Joseph,1368,0,0 - 1,0,,Schnell Sebastian Narayana,1752,11,
11,12,12,,Guaraca Juan,1728,0,1 - 0,0,,Gounder Rowan,1352,29,
12,13,34,,Reyes Moreno Abraham Enrique,0,0,0 - 1,0,,Jimenez Giron Alexander Abraham,1723,13,
13,14,14,,Sifuentes Alcantara Jhony Sebas,1706,0,1 - 0,0,,Shaul Zebede Eden Jaim,1199,30,
14,15,31,,Cedeno del Cid Arturo Alejandro,0,0,0 - 1,0,,Molina Ballesteros Juan Sebasti,1704,15,
15,16,16,,Fascio Outerbridge Arno Augusto,1692,0,1 - 0,0,,Guerra Ramirez Jorge,0,32,
16,17,33,,Ortiz Juan Pablo,0,0,0 - 1,0,,Reyes Zavaleta Diego Alexander,1684,17,
