,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,48,,Gala Jainam R,1089,0,½ - ½,0,,Giri Abhishek,1662,1
1,2,2,,Mishra Sanjeev,1625,0,1 - 0,0,,Kush Ajay Agarwal,1088,49
2,3,50,,Sandip Ram Sawant,1046,0,0 - 1,0,,Pandey Arpit,1587,3
3,4,4,,Ankur Mahesh Gokhale,1577,0,1 - 0,0,,Vishal Rajesh Shah,1042,51
4,5,52,,Mohite Abhijeet,1037,0,0 - 1,0,,Shah Jeet,1536,5
5,6,6,,Kuwar Tushar,1517,0,1 - 0,0,,Jani Harsh,1035,53
6,7,54,,Sreerag P Nair,1034,0,0 - 1,0,,Mali Nilesh,1498,7
7,8,8,,Soni Deepak R,1458,0,1 - 0,0,,Kakaria Harshika,1025,55
8,9,56,,Arnav Mahesh Koli,1015,0,1 - 0,0,,Prince Lasrado,1420,9
9,10,10,,Ankit Mahendra Khedekar,1400,0,1 - 0,0,,Tanish Shah,1010,57
10,11,58,,Aabha Milind Gavkar,0,0,0 - 1,0,AGM,Bhogal Rupesh,1395,11
11,12,12,,Mithil Anande P,1395,0,1 - 0,0,,Acharekar Soham,0,59
12,13,60,,Akash Mahajan,0,0,- - +,0,,Khan Zaheer,1389,13
13,14,14,,Cardoza Melwyn,1386,0,1 - 0,0,,Alwe Mandar,0,61
14,15,62,,Aniket Santosh Singh,0,0,0 - 1,0,,Naik Dayanand,1380,15
15,16,16,,Mistry Devanshu,1377,0,1 - 0,0,,Baviskar Girish,0,63
16,17,64,,Baviskar Yash,0,0,0 - 1,0,,Potawad Anirudhha,1372,17
17,18,18,,Pawar Sohum,1365,0,1 - 0,0,,Charit Subhajit,0,65
18,19,66,,Dabre Sujal,0,0,0 - 1,0,,Khandelwal Naman,1343,19
19,20,20,,Bhanushali Dr. Mehul,1334,0,1 - 0,0,,Dsouza Roydon P,0,67
20,21,68,,Gaikwad Aastha,0,0,0 - 1,0,,Bekesh Nishad,1332,21
21,22,22,,Prathamesh Santosh Gawade,1312,0,1 - 0,0,,Ghorpade Ashish,0,69
22,23,70,,Goswami Abhi,0,0,0 - 1,0,,Mahajan Akash,1306,23
23,24,24,,Dhule Amey,1302,0,1 - 0,0,,Goswami Vakul,0,71
24,25,72,,Gupta Kunal,0,0,0 - 1,0,,Divekar Prathamesh,1286,25
25,26,26,,Sriparameshwaran Iyer,1278,0,+ - -,0,,Jadhav Shreyas,0,73
26,27,74,,Kakaria Harshita,0,0,0 - 1,0,,Jagdish Mayekar,1228,28
27,28,29,,Naik Gyananjay,1222,0,½ - ½,0,,Kale Anil,0,75
28,29,76,,Kriya Hiren Shah,0,0,0 - 1,0,,Elesh Tripathi,1199,30
29,30,31,,Aman Singh,1181,0,0 - 1,0,,Naksh Malik,0,77
30,31,78,,Navalkar Eshwar,0,0,- - +,0,,Gouresh Rao M,1177,32
31,32,33,,Thakkar Bhargav,1172,0,+ - -,0,,Peshkar Indrajit R,0,79
32,33,80,,Pillai Austin,0,0,0 - 1,0,,Sawant Sanskruti,1171,34
33,34,35,,Kshaunish Prakash Jaiswal,1168,0,1 - 0,0,,Prabhupatkar Pallavi,0,81
34,35,82,,Prasad Yash B,0,0,0 - 1,0,,Shirsekar Amey,1165,36
35,36,37,,Khade Dhananjay,1159,0,1 - 0,0,,Rajnikanth Pamarti Potuluri,0,83
36,37,84,,Shah Chintan,0,0,0 - 1,0,,Shah Param J,1156,38
37,38,39,,Om Nilesh Deorukhakar,1155,0,1 - 0,0,,Shah Rikin,0,85
38,39,86,,Shetty Karan,0,0,1 - 0,0,,Kakaria Harsh,1151,40
39,40,41,,Mahendra Singh,1142,0,1 - 0,0,,Shraddha Naresh Padvekar,0,87
40,41,88,,Singh Mahendra,0,0,- - +,0,,Rahul N Kamath,1139,42
41,42,43,,Devanshi Solanki,1135,0,+ - -,0,,Singh Pankaj,0,89
42,43,90,,Smith Naik,0,0,- - +,0,,Lodariya Niraj,1123,44
43,44,45,,Arya Rathod,1119,0,0 - 1,0,,Srishti Tripathi,0,91
44,45,92,,Vaghamshi Harsh,0,0,0 - 1,0,,Kulkarni Guruprasad,1109,46
45,46,47,,Shah Neel Prakash,1101,0,1 - 0,0,,Viha Hiren Shah,0,93
