,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,IM,Alvarado Diaz Alejandro,2536,0,1 - 0,0,,Fuentes Del Pino Raul,1695,40
1,2,41,,Toquero Gracia Laura,1683,0,0 - 1,0,IM,Rojas Keim Luis Alberto,2476,2
2,3,3,FM,Garcia Jimenez Francisco Javier,2425,0,1 - 0,0,,Jove Albaiges Guillem,1676,42
3,4,43,,Romero Kovina Daniel,1667,0,0 - 1,0,MK,Iglesias Jorge,2371,4
4,5,5,MK,Molina Carretero Daniel,2341,0,1 - 0,0,,Escudero Ribo Alexia,1652,44
5,6,45,,Carrasco Gomez Adahara,1643,0,0 - 1,0,MK,Ayllon Rodriguez Joan Pedro,2268,6
6,7,7,,Arnijas Fabregas Marc,2180,0,1 - 0,0,,Carrasco Gomez Ariadna,1635,46
7,8,47,,Delgado Brugue Dani,1635,0,0 - 1,0,MK,Nadal Fajardo Ricard,2163,8
8,9,9,MK,Cano Sevilla Ivan,2152,0,1 - 0,0,,Garcia Rodriguez Laia,1628,48
9,10,49,,Molina Gil Noah,1607,0,0 - 1,0,,Fuertes Buisac Bernat,2146,10
10,11,11,,Urgel Yvorra Marc,2124,0,1 - 0,0,,Rueda Medina Alex,1580,50
11,12,51,,Jurca Szabo Gerard,1545,0,0 - 1,0,,Toquero Gracia Pau,2101,12
12,13,14,,Iborra Polo Eric,2001,0,1 - 0,0,,Vilasalo Sangra Ignasi,1474,52
13,14,53,,Escudero Ribo Eloi,1472,0,0 - 1,0,,Casares Bonals Ainhoa,1995,15
14,15,16,,Boix Redorta Roc,1971,0,1 - 0,0,,Noguera Pachón Martí,1396,54
15,16,55,,Jacomet Rodriguez Josep-M.,1392,0,0 - 1,0,,Uber Gracia Hugo,1943,17
16,17,18,,Viñolas Anglada Laura,1935,0,1 - 0,0,,Iglesias Pau Nil,1387,56
17,18,57,,Pino Jacomet Pau,1378,0,0 - 1,0,,Perez Garcia Jose Miguel,1923,19
18,19,20,,Gomez Figueroa Manuel,1921,0,1 - 0,0,,Carrasco  Taberner Laia,1364,58
19,20,59,,Rueda Medina David,1351,0,0 - 1,0,,Casares Bonals Asier,1885,21
20,21,22,,Ortiz Padro Pol,1876,0,1 - 0,0,,Rota Ovcharova Ivan,1348,60
21,22,61,,Jurca Szabo Marc,1340,0,½ - ½,0,,Sans Piera Marti,1862,23
22,23,24,,Garcia Moles Àlex,1826,0,1 - 0,0,,Figueras Belando Adrià,1296,62
23,24,63,,Boixader Rojas Eudald,1261,0,0 - 1,0,,Otones Pacheco Juan,1790,26
24,25,27,,Pino Jacomet Arnau,1782,0,1 - 0,0,,Pinyol Llora Miquel,1225,64
25,26,65,,Ballester Àlex,0,0,1 - 0,0,,Montes Molina Ivan,1779,28
26,27,29,,Carrasco Sanchez Manuel,1768,0,1 - 0,0,,Ballester Paula,0,66
27,28,67,,Casallachs Agustí,0,0,0 - 1,0,,Otones Lopez Josep Mª,1750,30
28,29,31,,Vila I Bague Arnau,1747,0,1 - 0,0,,Jurca Stefan,0,68
29,30,70,,Mayugo Busca Jazz,0,0,0 - 1,0,,Pinyol Llora Julia,1742,32
30,31,33,,Vidal Masferrer Maria,1732,0,1 - 0,0,,Moro Blanco Hugo,0,71
31,32,72,,Moro Morales Marcos,0,0,0 - 1,0,,Bonilla Rodriguez Javier,1724,34
32,33,35,,Marchan Toni,1715,0,1 - 0,0,,Ortiz Carles,0,73
33,34,74,,Ortiz Victor,0,0,0 - 1,0,,Garcia Merchan Nicolas Joaquin,1710,36
34,35,37,,Jacomet Bonada Aurelia,1700,0,0 - 1,0,,Pardo De Juan Kevin,0,75
35,36,77,,Rota Burde Andrés,0,0,0 - 1,0,,Pino García Ruben,1700,38
36,37,25,,Moles Benali Joan,1805,0,0 - 1,0,,Moles Fuentes Jesus,2037,13
37,38,78,,Szabo Andrea,0,0,0 - 1,0,,Casado Hamed Sergi,1697,39
38,39,69,,Martorell Fran,0,0,0 - 1,0,,Roig Marçal,0,76
