,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,,Bhanuprakash P V,1332,0,1 - 0,0,,K.Mahaboob,0,39
1,2,40,,K.Manvith Naik,0,0,0 - 1,0,,Harshith P,1239,2
2,3,3,,Lakshith P,1202,0,1 - 0,0,,K.Om Paneeth,0,41
3,4,42,,K.Sai Karthikeya,0,0,0 - 1,0,,Harshvardhnachari Uttaradi,1087,4
4,5,5,,A Durga Reddy,0,0,0 - 1,0,,K.Sai Saketh Reddy,0,43
5,6,44,,L.Mokshith kumar,0,0,½ - ½,0,,A Rohith Kumar,0,6
6,7,7,,A Sunith,1277,0,+ - -,0,,G Pavan Kalyan,0,45
7,8,46,,M thanvir,0,0,0 - 1,0,,A.K.Swamy,0,8
8,9,9,,A.Mahammed Adil,0,0,1 - 0,0,,M.Harry Jackson,0,47
9,10,48,,M.Joshith Reddy,0,0,0 - 1,0,,Adnan Ameen,0,10
10,11,11,,B Abhishek Reddy,0,0,0 - 1,0,,M.Sumanth vijay theodore,0,49
11,12,50,,M.V.S.Akshath Ram,0,0,1 - 0,0,,B Jaswanth Naik,0,12
12,13,13,,B Santosh,0,0,0 - 1,0,,M.Yugandhar,0,51
13,14,52,,Mahendra Simha,0,0,1 - 0,0,,B Vara Prasad Reddy,0,14
14,15,15,,B.Varadarajulu,0,0,1 - 0,0,,N Hari Prasad Reddy,0,53
15,16,54,,N Homeswar,0,0,0 - 1,0,,C.G.Rohith Krishna Varma,0,16
16,17,17,,C.Sravan Varma,0,0,1 - 0,0,,N Jitesh Keerthan Reddy,0,55
17,18,56,,N Premchand,0,0,½ - ½,0,,D K Sojan Raj,0,18
18,19,19,,D Yaswith,0,0,0 - 1,0,,N.Venkata Hrudeswar,0,57
19,20,58,,Nanda Kishore,0,0,1 - 0,0,,D.M.Ansar,0,20
20,21,21,,G Chandra Has Reddy,0,0,0 - 1,0,,Noushad Khan,0,59
21,22,60,,P Akash Eswarappa,0,0,0 - 1,0,,M Desmond,1097,22
22,23,23,,G Thanish,0,0,1 - 0,0,,P Sriram,0,61
23,24,62,,P.Balaji,0,0,1 - 0,0,,G.Inaya Thulla,0,24
24,25,25,,G.Shalim Mani Kumar,0,0,1 - 0,0,,P.Divya chand,0,63
25,26,64,,P.Sri Gowtham,0,0,- - +,0,,G.Sohan,0,26
26,27,27,,I.Aravind,0,0,1 - 0,0,,S Khaja Fareed,0,65
27,28,66,,S.Abdul Afnan,0,0,0 - 1,0,,J.Rama Krishna,0,28
28,29,29,,K Harsha vardhan,0,0,0 - 1,0,,S.Gowtham,0,67
29,30,68,,S.Rehan,0,0,+ - -,0,,K Mehaboob,0,30
30,31,31,,K Obulesh,0,0,0 - 1,0,,Sai Harmesh M,0,69
31,32,70,,T.Ram Charan,0,0,1 - 0,0,,K Rohan Vatsal,0,32
32,33,33,,K Shanmuka Sai Vadhan,0,0,0 - 1,0,,T.Saketh Samurai,0,71
33,34,72,,T.Suhas,0,0,0 - 1,0,,K Sreekar Praneeth Reddy,0,34
34,35,35,,K Surya,0,0,1 - 0,0,,V Vishnu Vardhan Reddy,0,73
35,36,74,,V Vivekananda Reddy,0,0,0 - 1,0,,K.Hema Chandra Reddy,0,36
36,37,37,,K.HussainBasha,0,0,+ - -,0,,Y Sudeswar,0,75
37,38,76,,S Hitesh,0,0,0 - 1,0,,K.Jathin Skanda Nandan,0,38
