,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,29,,Paltsev Daniil S,1186,0,0 - 1,0,,Vyatich Sergey,1282,1
1,2,2,,Shelestov Sergey,1099,0,1 - 0,0,,Krikun Anastasiya V,1072,30
2,3,31,,Amelin Yury,1159,0,0 - 1,0,,Cherkasov Egor,1285,3
3,4,4,,Nabiev Yaroslav Rusl,1460,0,0 - 1,0,,Popov Roman S,1070,32
4,5,33,,Yatsenko Ivan M,1067,0,1 - 0,0,,Evsikov Robert,1262,5
5,6,6,,Kashunin Kirill A,1250,0,1 - 0,0,,Pustovalova Viktoriya A,1062,34
6,7,35,,Averyanov Sergey,1101,0,0 - 1,0,,Morozevich Kirill Aleks,1247,7
7,8,8,,Sobolev Lev U,1229,0,1 - 0,0,,Andreev Fadei,1111,36
8,9,37,,Kravtsova Sofya A,1019,0,0 - 1,0,,Chernov Gleb,1225,9
9,10,10,,Petukhov Nikolay A,1207,0,1 - 0,0,,Kotov Artem D,1008,38
10,11,39,,Evtushenko Grigorij O,1006,0,0 - 1,0,,Osipov Andrey K,1263,11
11,12,12,,Azimov Umar M,1098,0,1 - 0,0,,Karabegov Khalid R,1005,40
12,13,41,,Alekminskaya Eva A,1000,0,0 - 1,0,,Chentsov Matvey A,1279,13
13,14,14,,Trufanov Aleksey A,1189,0,1 - 0,0,,Vyazov Ilya M,1000,42
14,15,43,,Goryachev Mikhail D,1000,0,0 - 1,0,,Bulik Sofia,1314,15
15,16,16,,Valieva Eva And,1179,0,1 - 0,0,,Le Bao An,1000,44
16,17,45,,Le Duc Bao,1000,0,1 - 0,0,,Pisarenko Daniil,1172,18
17,18,19,,Gorskiy Vasiliy Ig,1168,0,1 - 0,0,,Maliushitskiy Ivan R,1000,46
18,19,47,,Knight Alexander Paul,1000,0,0 - 1,0,,Kovalev Nikita A,1227,20
19,20,21,,Khokhlov Nikita,1147,0,1 - 0,0,,Petrik Varvara,1000,48
20,21,49,,Rodina Viktoriya A,1000,0,0 - 1,0,,Grigoriev Daniil Val,1139,22
21,22,23,,Karmazin Alexandr V,1136,0,1 - 0,0,,Ruvinskiy Roman-Ruvin,1000,50
22,23,51,,Smolev Mikhail Rom,1000,0,0 - 1,0,,Denisov Platon A,1121,24
23,24,25,,Ryabchikov Ivan,1104,0,1 - 0,0,,Tvorogov Dmitrii A,1000,52
24,25,53,,Chentsov Sergey,1000,0,½ - ½,0,,Sukhinin Gleb V,1108,26
25,26,28,,Sorokin Dmitry Gennadevich,1095,0,1 - 0,0,,Alpeev Tikhon E,1000,54
26,27,27,,Chalaya Alexandra U,1089,0,1 - 0,0,,Kislyi Daniil N,1189,17
