,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.,PGN
0,1,1,WIM,Wang Ellen,1991,0,1 - 0,0,,Saldana Estribi Ailianis Mixian,1224,11,
1,2,12,,Venkataraja Triyakshari,1170,0,0 - 1,0,WFM,Matus Nastassja,1908,2,PGN
2,3,3,,Naymanova Patricie,1867,0,1 - 0,0,,Agames Martha,1164,13,PGN
3,4,14,,Juarez Vera Cielito De Los Milagros,1149,0,0 - 1,0,,Vega Paucar Emely Bachellet,1819,4,PGN
4,5,5,WCM,Hernandez Ortega Carolina,1572,0,1 - 0,0,,Chuquilin Diaz Marina Jhusdely,1138,15,PGN
5,6,16,,Galicia Ticona Isabel,1100,0,0 - 1,0,,Huayhuas Robles Laura Sofia,1540,6,PGN
6,7,7,AFM,Palacios Gordillo Camila Estefania,1489,0,½ - ½,0,,Chavez Echeverria Ana Karen,1081,17,
7,8,18,,Lopez Villarreal Melissa Paola,1064,0,0 - 1,0,,Sihuincha Quispe Estefany Anyaly,1333,8,PGN
8,9,10,,Salazar Becerra Fely Gabriela,1254,0,0 - 1,0,,Furman Jessica,0,19,PGN
9,10,20,,Gomez Carreno Milagro,0,0,0 - 1,0,,Ramon Kerly,1319,9,PGN
