,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,2,,Maksudshoev Kubot,2146,0,1 - 0,0,,Kaslivtsev Vladimir,0,16
1,2,4,,Pasynkov Andrey,1658,0,1 - 0,0,,Kopytov Viktor Alek,0,18
2,3,6,,Semenov Nikolay,1458,0,1 - 0,0,,Mamatkulov Gleb,0,21
3,4,8,,Protas Dmitry,1215,0,1 - 0,0,,Plis Gleb Andr,0,23
4,5,10,,Erokhin Vadim,1200,0,0 - 1,0,,Poldyaev Igor,0,25
5,6,12,,Yurchikov Ivan Ol,1026,0,1 - 0,0,,Rogozin Vasiliy,0,27
6,7,15,,Zhabin Ilya,0,0,0 - 1,0,,Omarov Nurmagomed,2151,1
7,8,17,,Kiselev Sergey Serg,0,0,1 - 0,0,,Arkhipenko Denis,1766,3
8,9,20,,Malashina Tatyana Al,0,0,0 - 1,0,,Alexandrov Matvey,1583,5
9,10,22,,Pankov Konstantin Aleks,0,0,0 - 1,0,,Kondakov Konstantin,1449,7
10,11,24,,Pozdnyakov Egor,0,0,1 - 0,0,,Simonov Arseniy,1203,9
11,12,26,,Protikhin Alexander,0,0,0 - 1,0,,Lebedeva Milana Ser,1140,11
12,13,28,,Khorkov Arseniy,0,0,0 - 1,0,,Bars Oleg,0,13
