,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,13,,Margaj Prisha,0,0,0 - 1,0,,Vivaan Sardana,1096,1
1,2,2,,Agarwala Jaagrav,0,0,0 - 1,0,,Mistry Muskan,0,15
2,3,16,,Motwani Pratham,0,0,0 - 1,0,,Ampepagolu Aditya,0,3
3,4,4,,Bhandari Ridhaan,0,0,0 - 1,0,,Palash Prabhu,0,17
4,5,18,,Panchmatiya Jai,0,0,1 - 0,0,,Gangadhare Soham,0,5
5,6,6,,Giri Sai,0,0,0 - 1,0,,Panigrahi Shriya,0,19
6,7,22,,Shah Neel,0,0,0 - 1,0,,Jain Manan,0,7
7,8,8,,Khandelwal Kushagra,0,0,1 - 0,0,,Shetty Arya,0,24
8,9,20,,Sahani Arshiya,0,0,1 - 0,0,,Kothari Vivaan,0,9
9,10,10,,Kulkarni Prathamesh,0,0,1 - 0,0,,Upadhyay Avdhut,0,25
10,11,14,,Mishra Achyutam,0,0,1 - 0,0,,Lulla Rishabh,0,12
11,12,21,,Sawant Arjun,0,0,0 - 1,0,,Utture Sharvil,0,26
